Date ,Sales,,,
2005-01-01,10827,,,
2005-02-01,12049,,,
2005-03-01,18298,,,
2005-04-01,17834,,,
2005-05-01,16480,,,
2005-06-01,16690,,,
2005-07-01,15389,,,
2005-08-01,13031,,,
2005-09-01,17849,,,
2005-10-01,16662,,,
2005-11-01,16458,,,
2005-12-01,15280,,,
2006-01-01,12767,,,
2006-02-01,15805,,,
2006-03-01,22685,,,
2006-04-01,18100,,,
2006-05-01,19699,,,
2006-06-01,19948,,,
2006-07-01,17719,,,
2006-08-01,15523,,,
2006-09-01,20987,,,
2006-10-01,19355,,,
2006-11-01,17190,,,
2006-12-01,17245,,,
2007-01-01,14865,,,
2007-02-01,17735,,,
2007-03-01,29156,,,
2007-04-01,23179,,,
2007-05-01,22767,,,
2007-06-01,21879,,,
2007-07-01,19753,,,
2007-08-01,16723,,,
2007-09-01,21623,,,
2007-10-01,22062,,,
2007-11-01,19560,,,
2007-12-01,17489,,,
2008-01-01,16788,,,
2008-02-01,20063,,,
2008-03-01,32544,,,
2008-04-01,25563,,,
2008-05-01,20791,,,
2008-06-01,18710,,,
2008-07-01,16326,,,
2008-08-01,12067,,,
2008-09-01,17331,,,
2008-10-01,15030,,,
2008-11-01,12049,,,
2008-12-01,11243,,,
2009-01-01,7709,,,
2009-02-01,13009,,,
2009-03-01,18459,,,
2009-04-01,15516,,,
2009-05-01,12540,,,
2009-06-01,13586,,,
2009-07-01,11855,,,
2009-08-01,10666,,,
2009-09-01,14437,,,
2009-10-01,14366,,,
2009-11-01,14375,,,
2009-12-01,13913,,,
2010-01-01,10551,,,
2010-02-01,12357,,,
2010-03-01,30712,,,
2010-04-01,23738,,,
2010-05-01,18163,,,
2010-06-01,17131,,,
2010-07-01,13856,,,
2010-08-01,12998,,,
2010-09-01,17592,,,
2010-10-01,18740,,,
2010-11-01,19411,,,
2010-12-01,18150,,,
2011-01-01,14778,,,
2011-02-01,24326,,,
2011-03-01,44803,,,
2011-04-01,30389,,,
2011-05-01,21376,,,
2011-06-01,18488,,,
2011-07-01,16132,,,
2011-08-01,14817,,,
2011-09-01,19393,,,
2011-10-01,18639,,,
2011-11-01,18469,,,
2011-12-01,18955,,,
2012-01-01,14199,,,
2012-02-01,24637,,,
2012-03-01,33000,,,
2012-04-01,26674,,,
2012-05-01,23006,,,
2012-06-01,20597,,,
2012-07-01,17100,,,
2012-08-01,14625,,,
2012-09-01,17379,,,
2012-10-01,18068,,,
2012-11-01,18025,,,
2012-12-01,17719,,,
2013-01-01,14391,,,
2013-02-01,16986,,,
2013-03-01,36190,,,
2013-04-01,29285,,,
2013-05-01,25487,,,
2013-06-01,22105,,,
2013-07-01,18679,,,
2013-08-01,16729,,,
2013-09-01,20146,,,
2013-10-01,21055,,,
2013-11-01,20270,,,
2013-12-01,20752,,,
2014-01-01,16396,,,
2014-02-01,23346,,,
2014-03-01,38932,,,
2014-04-01,29795,,,
2014-05-01,23326,,,
2014-06-01,23922,,,
2014-07-01,21888,,,
2014-08-01,17416,,,
2014-09-01,23041,,,
2014-10-01,21818,,,
2014-11-01,19810,,,
2014-12-01,20592,,,
2015-01-01,17063,,,
2015-02-01,17772,,,
2015-03-01,33879,,,
2015-04-01,27413,,,
2015-05-01,23361,,,
2015-06-01,24053,,,
2015-07-01,20717,,,
2015-08-01,16870,,,
2015-09-01,21780,,,
2015-10-01,19271,,,
2015-11-01,18590,,,
2015-12-01,20243,,,
2016-01-01,17017,,,
2016-02-01,20788,,,
2016-03-01,36067,,,
2016-04-01,28155,,,
2016-05-01,25209,,,
2016-06-01,24634,,,
2016-07-01,19853,,,
2016-08-01,19571,,,
2016-09-01,23312,,,
2016-10-01,21928,,,
2016-11-01,21697,,,
2016-12-01,22563,,,
2017-01-01,21486,,,
2017-02-01,32938,,,
2017-03-01,45061,,,
2017-04-01,34248,,,
2017-05-01,31739,,,
2017-06-01,30315,,,Existing
2017-07-01,25046,,,Predicted
2017-08-01,23285,,,
2017-09-01,26721,,,
2018-01-01,25520,,,
2018-02-01,27218,,,
2018-03-01,28857,,,
2018-04-01,32896,,,
2018-05-01,40046,,,
2018-06-01,41669,,,
2018-07-01,35841,,,
2018-08-01,34554,,,
2018-09-01,30571,,,
2018-10-01,30275,,,